"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","FMTM","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-01","4.6",," 2305",," 2246","0.0",,"0.0","0.0","10.6","16.7","-1.7","13.9",,"  210","  200","10.7","13.9",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-02","5.1",," 0537",," 0536","0.0",,"0.0","0.0","7.2","15.0","1.7","1.7",,"  240","  240","12.5","16.1",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-03","4.8",," 2300",," 2122","1.3",,,"0.0","0.6","2.2","-1.1","-1.1",,"  340","  330","10.3","13.9",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-04","5.5",," 0434",," 0421","0.0",,"0.0","0.0","-5.0","-1.1","-9.4","-6.1",,"  330","  320","10.3","13.4",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-05","4.7",," 1520",," 1503","0.0",,"0.0","0.0","0.6","7.8","-7.2","2.2",,"  220","  210","12.5","14.8",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-06","2.3",," 1659",," 1655","0.0",,"0.0","0.0","3.3","7.8","-1.1","0.6",,"  270","  260","4.9","6.3",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-07","3.3",," 1512",," 2100","0.0",,"0.0","0.0","3.3","10.0","-3.3","3.9",,"  210","  200","7.6","9.4",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-08","3.3",," 1256",," 1255","0.0",,"0.0","0.0","5.6","8.9","3.3","7.2",,"  220","  220","8.9","10.7",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-09","3.6",," 2246",," 2245","0.0",,"0.0","0.0","7.2","8.9","3.9","3.9",,"  260","  260","6.7","8.0",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-10","5.5",," 1455",," 2122","0.0",,"0.0","0.0","7.8","13.9","1.1","5.6",,"  270","  290","11.6","14.3",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-11","2.3",," 0031",," 0033","0.0",,"0.0","0.0","3.3","6.7","-1.1","1.7",,"  300","  320","7.6","9.8",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-12","3.6",," 1459",," 1459","0.0",,"0.0","0.0","5.6","12.8","-1.7","2.2",,"  320","  320","7.2","8.9",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-13","2.5",," 0735",," 0725","0.0",,"0.0","0.0","-0.6","3.9","-5.0","-2.8",,"   10","   20","5.8","8.0",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-14","5.3",," 1446",," 1243","0.0",,"0.0","0.0","2.8","10.6","-4.4","5.6",,"  230","  210","10.7","14.8",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-15","5.6",," 1130",," 1131","0.0",,"0.0","0.0","10.6","16.7","4.4","1.1",,"  240","  240","13.0","16.5",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-16","4.9",," 1944",," 1944","0.0",,"0.0","0.0","3.9","16.1","0.0","0.6",,"   80","   80","8.9","10.7",,,,,,,,,
"USW00013988","KANSAS CITY DOWNTOWN AIRPORT, MO US","39.1208","-94.5969","226.2","2000-01-17","3.1",," 0329",," 0328","0.0",,"0.0","0.0","2.2","3.9","0.6","2.2",,"  100","  110","7.2","8.9",,,,,,,,,
