"Area Name-Legal/Statistical Area Description","Qualifying Name","FIPS","Summary Level","Geographic Component","State (FIPS)","County","County Size Code","County Subdivision (FIPS)","Census Tract","Total population","Total population: White alone","Total population: Black or African American alone","Total population: American Indian and Alaska Native alone","Total population: Asian alone","Total population: Native Hawaiian and Other Pacific Islander alone","Total population: Some Other Race alone","Total population: Two or More Races","% Total population: White alone","% Total population: Black or African American alone","% Total population: American Indian and Alaska Native alone","% Total population: Asian alone","% Total population: Native Hawaiian and Other Pacific Islander alone","% Total population: Some Other Race alone","% Total population: Two or More Races"
Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,PCT_SE_T054_002,PCT_SE_T054_003,PCT_SE_T054_004,PCT_SE_T054_005,PCT_SE_T054_006,PCT_SE_T054_007,PCT_SE_T054_008
"Census Tract 3","Census Tract 3, Jackson County, Missouri","29095000300","140","00","29","095","20",,"000300",1393,591,450,5,193,9,81,64,42.43,32.3,0.36,13.85,0.65,5.81,4.59
"Census Tract 6","Census Tract 6, Jackson County, Missouri","29095000600","140","00","29","095","20",,"000600",4674,2379,288,47,246,22,1465,227,50.9,6.16,1.01,5.26,0.47,31.34,4.86
"Census Tract 7","Census Tract 7, Jackson County, Missouri","29095000700","140","00","29","095","20",,"000700",4094,1861,441,43,405,2,1152,190,45.46,10.77,1.05,9.89,0.05,28.14,4.64
"Census Tract 8","Census Tract 8, Jackson County, Missouri","29095000800","140","00","29","095","20",,"000800",3978,1784,570,41,280,6,1075,222,44.85,14.33,1.03,7.04,0.15,27.02,5.58
"Census Tract 9","Census Tract 9, Jackson County, Missouri","29095000900","140","00","29","095","20",,"000900",3052,1461,562,25,118,0,719,167,47.87,18.41,0.82,3.87,0,23.56,5.47
"Census Tract 10","Census Tract 10, Jackson County, Missouri","29095001000","140","00","29","095","20",,"001000",3218,1004,1468,23,228,13,342,140,31.2,45.62,0.71,7.09,0.4,10.63,4.35
"Census Tract 11","Census Tract 11, Jackson County, Missouri","29095001100","140","00","29","095","20",,"001100",1709,1206,324,13,49,3,53,61,70.57,18.96,0.76,2.87,0.18,3.1,3.57
"Census Tract 18","Census Tract 18, Jackson County, Missouri","29095001800","140","00","29","095","20",,"001800",2966,1148,849,26,164,19,643,117,38.71,28.62,0.88,5.53,0.64,21.68,3.94
"Census Tract 19","Census Tract 19, Jackson County, Missouri","29095001900","140","00","29","095","20",,"001900",3346,1410,553,39,173,8,1017,146,42.14,16.53,1.17,5.17,0.24,30.39,4.36
"Census Tract 20","Census Tract 20, Jackson County, Missouri","29095002000","140","00","29","095","20",,"002000",2336,1076,157,23,101,0,829,150,46.06,6.72,0.98,4.32,0,35.49,6.42
"Census Tract 21","Census Tract 21, Jackson County, Missouri","29095002100","140","00","29","095","20",,"002100",4280,1903,994,24,197,5,986,171,44.46,23.22,0.56,4.6,0.12,23.04,4
"Census Tract 22","Census Tract 22, Jackson County, Missouri","29095002200","140","00","29","095","20",,"002200",2906,1180,779,21,95,7,691,133,40.61,26.81,0.72,3.27,0.24,23.78,4.58
"Census Tract 23","Census Tract 23, Jackson County, Missouri","29095002300","140","00","29","095","20",,"002300",2159,605,915,22,20,14,473,110,28.02,42.38,1.02,0.93,0.65,21.91,5.09
"Census Tract 34","Census Tract 34, Jackson County, Missouri","29095003400","140","00","29","095","20",,"003400",3040,846,1334,33,6,0,665,156,27.83,43.88,1.09,0.2,0,21.88,5.13
"Census Tract 37","Census Tract 37, Jackson County, Missouri","29095003700","140","00","29","095","20",,"003700",1008,67,904,2,0,0,11,24,6.65,89.68,0.2,0,0,1.09,2.38
"Census Tract 38","Census Tract 38, Jackson County, Missouri","29095003800","140","00","29","095","20",,"003800",1689,55,1545,1,2,1,8,77,3.26,91.47,0.06,0.12,0.06,0.47,4.56
"Census Tract 43","Census Tract 43, Jackson County, Missouri","29095004300","140","00","29","095","20",,"004300",2168,1171,765,17,80,0,71,64,54.01,35.29,0.78,3.69,0,3.27,2.95
"Census Tract 44","Census Tract 44, Jackson County, Missouri","29095004400","140","00","29","095","20",,"004400",875,682,86,1,69,0,15,22,77.94,9.83,0.11,7.89,0,1.71,2.51
"Census Tract 46","Census Tract 46, Jackson County, Missouri","29095004600","140","00","29","095","20",,"004600",2501,1901,361,18,29,0,119,73,76.01,14.43,0.72,1.16,0,4.76,2.92
"Census Tract 51","Census Tract 51, Jackson County, Missouri","29095005100","140","00","29","095","20",,"005100",1651,1017,338,10,27,0,198,61,61.6,20.47,0.61,1.64,0,11.99,3.69
"Census Tract 52","Census Tract 52, Jackson County, Missouri","29095005200","140","00","29","095","20",,"005200",1192,176,948,6,4,0,14,44,14.77,79.53,0.5,0.34,0,1.17,3.69
"Census Tract 53","Census Tract 53, Jackson County, Missouri","29095005300","140","00","29","095","20",,"005300",1368,243,1047,3,10,0,30,35,17.76,76.54,0.22,0.73,0,2.19,2.56
"Census Tract 54","Census Tract 54, Jackson County, Missouri","29095005400","140","00","29","095","20",,"005400",903,40,815,1,4,0,20,23,4.43,90.25,0.11,0.44,0,2.21,2.55
"Census Tract 55","Census Tract 55, Jackson County, Missouri","29095005500","140","00","29","095","20",,"005500",886,31,813,4,1,1,5,31,3.5,91.76,0.45,0.11,0.11,0.56,3.5
"Census Tract 56.01","Census Tract 56.01, Jackson County, Missouri","29095005601","140","00","29","095","20",,"005601",1556,69,1378,4,0,0,24,81,4.43,88.56,0.26,0,0,1.54,5.21
"Census Tract 56.02","Census Tract 56.02, Jackson County, Missouri","29095005602","140","00","29","095","20",,"005602",1457,44,1363,1,0,0,18,31,3.02,93.55,0.07,0,0,1.24,2.13
"Census Tract 57","Census Tract 57, Jackson County, Missouri","29095005700","140","00","29","095","20",,"005700",2187,41,2048,13,2,0,29,54,1.87,93.64,0.59,0.09,0,1.33,2.47
