system:index,geoid10,mean,.geo
00030000000000003039,29095016200,49.51598623400003,"{""type"":""Polygon"",""coordinates"":[[[-94.57074899205905,39.081861985703426],[-94.57077898377956,39.08132198408318],[-94.5708799796429,39.079448991538285],[-94.57097003379053,39.07772595907668],[-94.57104898873018,39.07610801199443],[-94.5711410111331,39.074119016182635],[-94.57122697232134,39.072303036303445],[-94.5713130123652,39.07050199391368],[-94.57000896539097,39.07045702476226],[-94.56868298820817,39.070410994533454],[-94.56682998062128,39.07034802920469],[-94.56673300665041,39.07034396636971],[-94.56555201615504,39.07030397307466],[-94.56440198411546,39.070266010547876],[-94.56323497568336,39.070224971275884],[-94.56209097450113,39.07018500494054],[-94.56199802300743,39.07198799996585],[-94.56197598542015,39.0724190222045],[-94.56196103134816,39.07270897015139],[-94.56192097019672,39.07285902324901],[-94.56185399179562,39.07379103489714],[-94.56189901134634,39.07393403559162],[-94.5621319802489,39.07473296286974],[-94.56225499767865,39.07545399964494],[-94.56228498469525,39.07560297691063],[-94.5624649858501,39.07650198533752],[-94.56256203088371,39.0773679729596],[-94.5622749890212,39.07737902312798],[-94.56170799333542,39.07740100323356],[-94.56160701457686,39.07921196048732],[-94.56152500390768,39.081018001794384],[-94.56147101230653,39.082201036715105],[-94.56146802151972,39.08226000098321],[-94.5614119836497,39.08338400849509],[-94.56134602903995,39.08464098371869],[-94.5613169869998,39.0851130366976],[-94.5625340113752,39.0851540202515],[-94.56363000998316,39.0851920258486],[-94.56480096241802,39.085230978364365],[-94.56483000632717,39.084757975117036],[-94.56581798077569,39.08479003011078],[-94.56594399761465,39.084793035796814],[-94.5663270087455,39.08480503037177],[-94.56663697740234,39.08481496180422],[-94.56792401961657,39.0848599724847],[-94.56860002223763,39.08488302626569],[-94.56899800816444,39.084897995094686],[-94.5694380316101,39.08491401476835],[-94.57002400040295,39.084935981801515],[-94.57058297519785,39.08495701926325],[-94.57064996439641,39.08367701598353],[-94.57074899205905,39.081861985703426]]]}"
00030000000000002fc8,29095005400,56.21374337894053,"{""type"":""Polygon"",""coordinates"":[[[-94.56049098753081,39.07012903335395],[-94.56095400216472,39.07014499080825],[-94.56209097450113,39.07018500494054],[-94.56218801886426,39.06837299411248],[-94.56228002621104,39.066558034879456],[-94.5623680196967,39.06474698883209],[-94.56245703650794,39.0629369622901],[-94.5612870005194,39.06289497780268],[-94.56088002029834,39.06288000306999],[-94.56055198277282,39.062869006531194],[-94.5601339896606,39.06285398297546],[-94.55896896206602,39.062812969403126],[-94.55783496719577,39.06277200289501],[-94.55666503112191,39.06273496542377],[-94.55550102256026,39.06270101698305],[-94.55436796600466,39.06266799240368],[-94.55434396416037,39.06266702387652],[-94.55320298385405,39.06262699790133],[-94.55310697860821,39.064440010740476],[-94.5530130195408,39.06623599530517],[-94.55293196620505,39.06805300374684],[-94.55284501106242,39.06986598634862],[-94.55401203154992,39.069906020225595],[-94.55514901543734,39.06994396088752],[-94.55630097572264,39.06998297211832],[-94.55746201092761,39.070022966350535],[-94.55861496486398,39.070063026155125],[-94.5595880298792,39.07009700576856],[-94.56008299015707,39.0701140205302],[-94.56016696621701,39.07011700978234],[-94.56049098753081,39.07012903335395]]]}"
00030000000000002fc9,29095005200,61.25454585238832,"{""type"":""Polygon"",""coordinates"":[[[-94.56868298820817,39.070410994533454],[-94.57000896539097,39.07045702476226],[-94.5713130123652,39.07050199391368],[-94.57141999189669,39.0686700172812],[-94.57146903409249,39.06788102643788],[-94.57153098633589,39.06687202143418],[-94.57163198360121,39.06502399176938],[-94.57164103636606,39.06484101969667],[-94.57172298363676,39.06324603298315],[-94.57058596648815,39.063206976668184],[-94.57052000070367,39.063204003671046],[-94.56949596698483,39.06317003704712],[-94.56938001758095,39.06316703473734],[-94.56837702230348,39.06313596405406],[-94.56823596528302,39.063132038226485],[-94.5670979980592,39.06309703048962],[-94.56588299629746,39.063057961017066],[-94.5647760114299,39.06302100564912],[-94.56356798806931,39.0629779897549],[-94.56245703650794,39.0629369622901],[-94.5623680196967,39.06474698883209],[-94.56228002621104,39.066558034879456],[-94.56218801886426,39.06837299411248],[-94.56209097450113,39.07018500494054],[-94.56323497568336,39.070224971275884],[-94.56440198411546,39.070266010547876],[-94.56555201615504,39.07030397307466],[-94.56673300665041,39.07034396636971],[-94.56682998062128,39.07034802920469],[-94.56868298820817,39.070410994533454]]]}"
0003000000000000308a,29095016400,42.525097172513554,"{""type"":""Polygon"",""coordinates"":[[[-94.51595096306572,39.06977003761078],[-94.51594097595896,39.07022901730031],[-94.51593696538906,39.07038203613743],[-94.51591596888085,39.070853018619005],[-94.51588797354931,39.070885989895395],[-94.51584802518,39.07156497978736],[-94.5158120087622,39.072294023206354],[-94.51579400056231,39.07263399088052],[-94.51578000292636,39.07300703852454],[-94.51575499592289,39.07374500016545],[-94.51572998893101,39.074457966797574],[-94.51570002773903,39.07518000093619],[-94.51566196682623,39.075917014234214],[-94.5167740013846,39.075938995391326],[-94.5179590381972,39.07598796746888],[-94.51909801608919,39.076029983500504],[-94.52026202710837,39.0760630084711],[-94.52051298365642,39.07607003602553],[-94.52144997181895,39.07609803034005],[-94.52189597886654,39.07611202238394],[-94.52256999051603,39.07613400342538],[-94.52292398763738,39.0761449692959],[-94.52370497594643,39.076168037707355],[-94.52396302703488,39.07617502101855],[-94.52487097398499,39.076199987273796],[-94.52495198523987,39.07620303689174],[-94.52585003853811,39.0762270301437],[-94.52686396480338,39.07625699726225],[-94.52737797472625,39.07627198203841],[-94.52780798495081,39.07628403277972],[-94.52830501402315,39.076299036893744],[-94.52884900614285,39.076319991815886],[-94.5294630096165,39.07634402041112],[-94.52989398035515,39.076361023201095],[-94.53053300955222,39.07638597947974],[-94.53093700827868,39.07640101007288],[-94.53153498857684,39.07641502022403],[-94.53197399937484,39.07642496129578],[-94.53246398715139,39.076436016650455],[-94.53302996829086,39.076449039418335],[-94.5332690272904,39.076453962532234],[-94.53410098288315,39.07648196289726],[-94.53417602943188,39.07468801608157],[-94.53421300208858,39.073849029344295],[-94.53422999378608,39.07349197672162],[-94.53425799863254,39.072887959760415],[-94.53427900227692,39.07243198850137],[-94.53433902397234,39.071745015131334],[-94.53439700043086,39.07112101856457],[-94.53448203792694,39.06927203594774],[-94.53326399280239,39.06923600439103],[-94.53214099904396,39.0692000016316],[-94.5320590330561,39.069196993248056],[-94.53099702626012,39.06916297686505],[-94.53075601081196,39.069155029014134],[-94.5298309745625,39.06912497210254],[-94.52877003413009,39.06909097312635],[-94.52865299215631,39.06908702126299],[-94.52772799193527,39.069057025353274],[-94.52677099520687,39.06902596104801],[-94.52600199648589,39.06900196543274],[-94.525692024749,39.06899096625424],[-94.52501899658336,39.06896697538328],[-94.52453403139064,39.06894997778755],[-94.52400203760853,39.068930991180025],[-94.52171296688826,39.06884903750573],[-94.52105902069228,39.068844989823134],[-94.52076197523023,39.06884299666528],[-94.52059501075992,39.06883898480976],[-94.52020996419132,39.06878200865375],[-94.52024700592926,39.06883102891872],[-94.51947896524527,39.06879203876444],[-94.5185500328383,39.06871499956057],[-94.51831300506824,39.06871202778737],[-94.51742199758404,39.06870102205392],[-94.51645700510845,39.068668990998304],[-94.51600003360139,39.068625965900466],[-94.51596700535131,39.0694040316457],[-94.51595096306572,39.06977003761078]]]}"
0003000000000000303c,29095016100,61.927889821226294,"{""type"":""Polygon"",""coordinates"":[[[-94.56874800716952,39.096107016238],[-94.56999802368328,39.09614201281957],[-94.57007201800846,39.09573401726177],[-94.57009697143666,39.09541500057981],[-94.57010098602713,39.09532302301474],[-94.57015600956177,39.09407501637591],[-94.57020300395533,39.0929830356149],[-94.57027298395701,39.09137002816252],[-94.5703369814955,39.09002698968713],[-94.5704020024423,39.08869300254182],[-94.57038901399027,39.08865298803679],[-94.57040900833589,39.088233972742444],[-94.57038098476694,39.08796996462791],[-94.5703059666888,39.08769502623933],[-94.57019898935731,39.08744401722935],[-94.57016403875174,39.087349032230264],[-94.57012098026644,39.087230970019846],[-94.57008398305778,39.08704597693283],[-94.57007398594403,39.086809966240516],[-94.57009098891024,39.08668297134027],[-94.570106023945,39.086562000917],[-94.57016301542355,39.086369998451524],[-94.57025196633171,39.086145975309456],[-94.57027400728728,39.086093010466186],[-94.57037397887696,39.08588401948352],[-94.57039601988218,39.085820982776575],[-94.57047402936914,39.08559302390924],[-94.57053102123487,39.08534598095029],[-94.57054802434453,39.08527195880564],[-94.57058297519785,39.08495701926325],[-94.57002400040295,39.084935981801515],[-94.5694380316101,39.08491401476835],[-94.56899800816444,39.084897995094686],[-94.56860002223763,39.08488302626569],[-94.56792401961657,39.0848599724847],[-94.56663697740234,39.08481496180422],[-94.5663270087455,39.08480503037177],[-94.56594399761465,39.084793035796814],[-94.56581798077569,39.08479003011078],[-94.56483000632717,39.084757975117036],[-94.56480096241802,39.085230978364365],[-94.56363000998316,39.0851920258486],[-94.5625340113752,39.0851540202515],[-94.5613169869998,39.0851130366976],[-94.56134602903995,39.08464098371869],[-94.56021599822229,39.084606028675545],[-94.55787801591129,39.08452596024156],[-94.55674601135242,39.08448898609031],[-94.55556901615174,39.08445002766248],[-94.55442903304011,39.0844109625682],[-94.55328403759587,39.08437001951156],[-94.55214599122486,39.084331014878934],[-94.55213497443606,39.0845580248174],[-94.55208996300796,39.08550899780645],[-94.55202701002449,39.08670697564825],[-94.55195603062351,39.08804299279836],[-94.55188402833298,39.08942398560248],[-94.5518779691282,39.08950796351088],[-94.55181100315697,39.090806970931375],[-94.55177999896337,39.09143503686987],[-94.55174403726866,39.09213703665761],[-94.55167203526032,39.0935740032724],[-94.55161797479903,39.09466499117376],[-94.55161097133711,39.09478999419335],[-94.55155596665085,39.09587298954159],[-94.5515340120063,39.09631098582888],[-94.55152700855525,39.096458028891526],[-94.55150300797146,39.09695097074839],[-94.55147601716372,39.097514990771515],[-94.5514129862045,39.09884801452762],[-94.5525400002825,39.09889203139238],[-94.55371598526423,39.09892096628127],[-94.55487303023375,39.09896299671902],[-94.55602899819016,39.099011004150285],[-94.55718703700913,39.099062011383694],[-94.5583340038596,39.09911597616056],[-94.55959896948343,39.09914098230946],[-94.56065099197005,39.09910697238853],[-94.56070797349794,39.097823038857086],[-94.56076896898446,39.0964479753701],[-94.5607829782801,39.096151035575645],[-94.56078502458202,39.09611503639376],[-94.56079399682979,39.09592803232928],[-94.56079596442818,39.095881965966946],[-94.56096100683604,39.09587798054354],[-94.56122899522259,39.095941021357746],[-94.56283703211041,39.09599002729452],[-94.56396900664846,39.09601098685972],[-94.56444700578504,39.09601998429311],[-94.56451996930458,39.09602101873513],[-94.56516601951468,39.09608196422394],[-94.5650710162774,39.09578000616363],[-94.5658430109552,39.095875989745934],[-94.56660903449739,39.09596998115094],[-94.56783003482478,39.09608503086525],[-94.568634971834,39.096103983492796],[-94.56874800716952,39.096107016238]]]}"
00030000000000003038,29095005300,50.284455424251284,"{""type"":""Polygon"",""coordinates"":[[[-94.5720119648669,39.0579379725058],[-94.57201597959929,39.057869028675455],[-94.57211996914378,39.056079969470865],[-94.57086998238225,39.05604096053525],[-94.56973597438069,39.056005019352305],[-94.5687239989483,39.055966993494735],[-94.56868196490794,39.0559649872023],[-94.5686370184327,39.05596301541946],[-94.56748597631254,39.0559150233439],[-94.56634503379149,39.055877018807294],[-94.56624601418063,39.05587398541712],[-94.5651499626178,39.05583000971327],[-94.56398899862394,39.05578697196713],[-94.56286497306881,39.05574898619849],[-94.5627950026396,39.056913990797725],[-94.56273998658385,39.057778011189484],[-94.56264301993787,39.05934595901123],[-94.56255101197414,39.06112597697572],[-94.56245703650794,39.0629369622901],[-94.56356798806931,39.0629779897549],[-94.5647760114299,39.06302100564912],[-94.56588299629746,39.063057961017066],[-94.5670979980592,39.06309703048962],[-94.56823596528302,39.063132038226485],[-94.56837702230348,39.06313596405406],[-94.56938001758095,39.06316703473734],[-94.56949596698483,39.06317003704712],[-94.57052000070367,39.063204003671046],[-94.57058596648815,39.063206976668184],[-94.57172298363676,39.06324603298315],[-94.57181500718457,39.061451007252444],[-94.57181799854288,39.06140297220991],[-94.57191600497939,39.05965700817352],[-94.57195599480521,39.058936014852044],[-94.5720119648669,39.0579379725058]]]}"
0003000000000000303d,29095015800,81.6535520767253,"{""type"":""Polygon"",""coordinates"":[[[-94.59383697862295,39.08472103122567],[-94.59387997719462,39.08373501303762],[-94.59287298479062,39.08401696127283],[-94.59264303372248,39.08408000769095],[-94.59113498836835,39.08448996569121],[-94.59100300686356,39.0845249706922],[-94.59050603165528,39.0847160343846],[-94.58974896234224,39.08506497775911],[-94.58955501129428,39.085166017006244],[-94.58920798002889,39.085336987797845],[-94.58921097234708,39.085237978775005],[-94.58922097299066,39.084801969915326],[-94.58925601463034,39.08338000297082],[-94.5886859805207,39.08336797475203],[-94.58769499059775,39.08336097533907],[-94.58705599477734,39.0833900311913],[-94.58655897698539,39.08344301160704],[-94.58586401012391,39.08359401021744],[-94.5844489855915,39.083957013305906],[-94.58411001824956,39.084027017515425],[-94.5836869616336,39.084083982984694],[-94.58329902484594,39.08410800558636],[-94.58172297653105,39.08405102484419],[-94.58052103132434,39.08400798502028],[-94.58020200776475,39.08397901558151],[-94.5799240053003,39.08389498498393],[-94.57967300911436,39.08375596681079],[-94.57947303180558,39.083567998573024],[-94.57942398236574,39.08349196299888],[-94.57922597424358,39.0831840044427],[-94.57904103609806,39.08284499839264],[-94.57861597205822,39.08163198609875],[-94.578293967994,39.08197603565652],[-94.5782609803996,39.08325600509886],[-94.5781930370405,39.08404395893879],[-94.57821901768921,39.08435802218952],[-94.57828396936542,39.08465802648758],[-94.57829900667367,39.08497497394419],[-94.57833002605572,39.085262030214615],[-94.57640803883791,39.085181024827236],[-94.57578499989509,39.085064980183674],[-94.57464396129788,39.085093011017314],[-94.57324300596511,39.085051028036716],[-94.57184901421525,39.0850070107671],[-94.57058297519785,39.08495701926325],[-94.57054802434453,39.08527195880564],[-94.57053102123487,39.08534598095029],[-94.57047402936914,39.08559302390924],[-94.57039601988218,39.085820982776575],[-94.57037397887696,39.08588401948352],[-94.57027400728728,39.086093010466186],[-94.57025196633171,39.086145975309456],[-94.57016301542355,39.086369998451524],[-94.570106023945,39.086562000917],[-94.57009098891024,39.08668297134027],[-94.57007398594403,39.086809966240516],[-94.57008398305778,39.08704597693283],[-94.57012098026644,39.087230970019846],[-94.57016403875174,39.087349032230264],[-94.57019898935731,39.08744401722935],[-94.5703059666888,39.08769502623933],[-94.57038098476694,39.08796996462791],[-94.57040900833589,39.088233972742444],[-94.57038901399027,39.08865298803679],[-94.5704020024423,39.08869300254182],[-94.5703369814955,39.09002698968713],[-94.57027298395701,39.09137002816252],[-94.57020300395533,39.0929830356149],[-94.57015600956177,39.09407501637591],[-94.57010098602713,39.09532302301474],[-94.57009697143666,39.09541500057981],[-94.57007201800846,39.09573401726177],[-94.56999802368328,39.09614201281957],[-94.57006902674655,39.096181973200366],[-94.5713530017459,39.096201036939476],[-94.57143502730031,39.096210989462364],[-94.57153397767853,39.09622400628918],[-94.57170897151062,39.096295021972765],[-94.57172298363676,39.09637400249248],[-94.57180697774987,39.096600024402385],[-94.57192497907158,39.09680901499476],[-94.5720960381484,39.09701402520282],[-94.57217601809535,39.097084000367396],[-94.572311968532,39.09696299507325],[-94.57254199083518,39.09681396516921],[-94.57276902270395,39.0967069962497],[-94.57293402288376,39.09664796779122],[-94.57317199874181,39.09658703377123],[-94.57337801441243,39.096555022875165],[-94.57350696157008,39.096541014806526],[-94.5740110235196,39.09645396185307],[-94.57411800837858,39.09629301497938],[-94.5743780320621,39.09628996955539],[-94.57467600200141,39.09627600196255],[-94.57481502895904,39.09626595869686],[-94.57498499501642,39.09624701239338],[-94.5752280182765,39.09621299379055],[-94.57621602493539,39.096075022204325],[-94.57673499150506,39.09600101138652],[-94.57759099804179,39.09582197260492],[-94.57759296625044,39.095793984963024],[-94.57761997008053,39.09579998373495],[-94.57765602769386,39.095808006459315],[-94.57782797087864,39.09583496740044],[-94.57795999905146,39.09581496607147],[-94.57824499835036,39.09579602656937],[-94.57847898232032,39.0957900279952],[-94.57874099517862,39.09579403112954],[-94.57992802061887,39.095858031473206],[-94.58111200144663,39.09592301104748],[-94.58227498584274,39.0959830136904],[-94.58339602846685,39.096037989664055],[-94.58451496833088,39.0960900241176],[-94.5849200001751,39.09610298977458],[-94.58577298634523,39.09613103780157],[-94.58610897193411,39.096142031563225],[-94.58648401525485,39.09618503061635],[-94.58717899006064,39.09621499015813],[-94.58722103844809,39.09630499824252],[-94.58784696483374,39.09630999283186],[-94.58859896796693,39.09624200111847],[-94.58860203899586,39.09617099526587],[-94.58860999217417,39.095981020897206],[-94.58861400813593,39.09588000588713],[-94.58862101638364,39.09569403230006],[-94.58865700256874,39.09477299980272],[-94.58873503833877,39.09284898390877],[-94.58878000148226,39.09193199832598],[-94.58882598834359,39.09105199079486],[-94.5888780385881,39.09013002251065],[-94.58892701783505,39.08923797785844],[-94.58902600014596,39.08772803270073],[-94.58951201614977,39.08742401323128],[-94.59020403737694,39.08699096217581],[-94.59148699311639,39.08617702916374],[-94.59202602942155,39.08583300265937],[-94.59208296519787,39.08579603015094],[-94.59220896436199,39.085715977791914],[-94.59247600480758,39.08554497172647],[-94.59253798105877,39.085505976746695],[-94.59261901491712,39.08545703338323],[-94.59280596812872,39.08534397280976],[-94.59375397415056,39.08476997408102],[-94.59383697862295,39.08472103122567]]]}"
00030000000000003084,29095016000,54.97130241597497,"{""type"":""Polygon"",""coordinates"":[[[-94.53802501879386,39.09023403205102],[-94.53801998386258,39.09033097477218],[-94.53797301741683,39.09111200479074],[-94.53787499377714,39.09323601878336],[-94.53783400641711,39.09416498570912],[-94.5378299942204,39.09426299288975],[-94.53774298469428,39.09465301866951],[-94.53773802845966,39.094670973373816],[-94.53770302014875,39.0947310118064],[-94.53775801074165,39.095037968661465],[-94.53775698802626,39.095126025816455],[-94.53773000408077,39.0956559689082],[-94.5376699786177,39.097013980131855],[-94.53764802961182,39.097521986014925],[-94.53760900917891,39.09836399078462],[-94.5387490310624,39.0984059728082],[-94.53990402496932,39.098449026765834],[-94.54104299381976,39.098491026912605],[-94.54218096387511,39.09853400606885],[-94.54338402505869,39.09857697972785],[-94.54446602408416,39.09861600766565],[-94.54557503261564,39.09865603598511],[-94.54603201841482,39.098672030997825],[-94.54710502177579,39.09870797464848],[-94.54818796081507,39.09874399718411],[-94.54924999075836,39.09877598709336],[-94.55041197628539,39.098813984918245],[-94.5514129862045,39.09884801452762],[-94.55147601716372,39.097514990771515],[-94.55150300797146,39.09695097074839],[-94.55152700855525,39.096458028891526],[-94.5515340120063,39.09631098582888],[-94.55155596665085,39.09587298954159],[-94.55161097133711,39.09478999419335],[-94.55161797479903,39.09466499117376],[-94.55167203526032,39.0935740032724],[-94.55174403726866,39.09213703665761],[-94.55177999896337,39.09143503686987],[-94.55181100315697,39.090806970931375],[-94.5518779691282,39.08950796351088],[-94.55188402833298,39.08942398560248],[-94.55195603062351,39.08804299279836],[-94.55202701002449,39.08670697564825],[-94.55208996300796,39.08550899780645],[-94.55213497443606,39.0845580248174],[-94.55096201403116,39.08451497628495],[-94.54981300019871,39.08447296589284],[-94.54979797079999,39.08453897970212],[-94.5489360299683,39.08450901784687],[-94.54865299469807,39.084460001923006],[-94.54831299237462,39.08442200612731],[-94.54747200529981,39.084405016983546],[-94.54639702758116,39.084376983217894],[-94.5457710293233,39.08435899107487],[-94.54560697743402,39.08435403292017],[-94.54459702674485,39.084322024778594],[-94.54422801705948,39.08430996845254],[-94.5429210034425,39.0842680070004],[-94.54271297938915,39.08425896501757],[-94.54188002574129,39.08422401626101],[-94.5418439919542,39.084238027065105],[-94.54175500905885,39.0840040370079],[-94.54168797694797,39.08398396053704],[-94.54131300777647,39.08396697132748],[-94.54113000865966,39.083959015696806],[-94.54065197949639,39.08394000258449],[-94.54050997197663,39.08393402174186],[-94.53949901509976,39.08389201462655],[-94.53944496680944,39.083889990560465],[-94.53835299837506,39.08384501412702],[-94.53823499158023,39.08619297527514],[-94.5381649743371,39.08747496755344],[-94.53809299041208,39.08890498945864],[-94.53805900459228,39.08957998204716],[-94.53802501879386,39.09023403205102]]]}"
00030000000000003035,29095005100,47.15466238723954,"{""type"":""Polygon"",""coordinates"":[[[-94.57195599480521,39.058936014852044],[-94.57191600497939,39.05965700817352],[-94.57181799854288,39.06140297220991],[-94.5730010149895,39.06144497919697],[-94.57299802356586,39.06150697702116],[-94.57413698069718,39.061546967767214],[-94.57530501129567,39.06159001352813],[-94.57646598166617,39.06163403791861],[-94.57762603216669,39.061681973943216],[-94.57814296527998,39.061702975162405],[-94.57828396936542,39.06170903324682],[-94.57878902050935,39.06172700642219],[-94.57995896220132,39.061768025890366],[-94.58076400067473,39.06180096715123],[-94.58115097452283,39.06181697413247],[-94.58160700096305,39.06183701561226],[-94.58163203843738,39.06183801722551],[-94.58227097035035,39.06186103884131],[-94.58279802595277,39.061877972781765],[-94.58344303434234,39.06189900422665],[-94.58459102967902,39.06194099598445],[-94.58578400997811,39.06198303544681],[-94.58589298658379,39.060180021720896],[-94.58599897126724,39.05838199362449],[-94.58610503489852,39.05657597806599],[-94.58504401422375,39.0565380375285],[-94.58492102378196,39.056533977308554],[-94.58377498989259,39.056491029990475],[-94.58260299746094,39.056447026398395],[-94.5825430009485,39.05644398414476],[-94.58145102878109,39.0564030191615],[-94.57999998147655,39.05634898374877],[-94.57923597304594,39.0563270376122],[-94.57797298931841,39.05629099550843],[-94.5768000201301,39.056253000791735],[-94.57563896387813,39.0562100052086],[-94.57446903670993,39.05616702777901],[-94.57332503438104,39.05612500732427],[-94.57211996914378,39.056079969470865],[-94.57201597959929,39.057869028675455],[-94.5720119648669,39.0579379725058],[-94.57195599480521,39.058936014852044]]]}"
00030000000000003020,29095004600,47.478546699262516,"{""type"":""Polygon"",""coordinates"":[[[-94.60727301189151,39.072307974768194],[-94.60733398100551,39.07243097274264],[-94.60723402005215,39.07070400904471],[-94.60732098370802,39.0698099645461],[-94.6073360290648,39.06970403225921],[-94.60733098768824,39.06890402971497],[-94.60730199978214,39.067512966674606],[-94.60729498912238,39.067201021793885],[-94.6072600146086,39.06632998168137],[-94.60723402005215,39.06570401244243],[-94.60732799437113,39.064765991552434],[-94.60733098768824,39.06470502911169],[-94.60716698566242,39.06460099212834],[-94.60722196803472,39.06396403864874],[-94.6072700185776,39.063925018112236],[-94.60726103863685,39.06381700897424],[-94.60726403195027,39.063692027088024],[-94.60727899851983,39.06278596834657],[-94.60728900249231,39.062240969664465],[-94.6072939650935,39.06191099463471],[-94.60731499707508,39.0605650096772],[-94.60733201171782,39.05888697976578],[-94.6073330357474,39.058702961130955],[-94.6073429609583,39.05777402286762],[-94.6073469783061,39.05733703654325],[-94.60610901907467,39.05729896830697],[-94.60494103402858,39.05725503498737],[-94.60377598845193,39.057213036730545],[-94.60368997566593,39.057209999189325],[-94.60272297132835,39.05717597572761],[-94.60263703897475,39.0571730135665],[-94.60151701651773,39.05713397919072],[-94.60144203412341,39.057130981617796],[-94.60018798467782,39.057088008867034],[-94.59979796088435,39.057075039122886],[-94.59832799331694,39.05702396381127],[-94.59607602097472,39.05694603115918],[-94.5957480066392,39.0569240235537],[-94.59550103244767,39.05690898320723],[-94.59543598139672,39.05755298897214],[-94.59539999071558,39.058111986391125],[-94.59531099854301,39.05955400624247],[-94.5952109809657,39.061145018363845],[-94.59515797959983,39.062091001190204],[-94.59509796920051,39.06313402916468],[-94.59499102169798,39.06485000887216],[-94.59492297862491,39.06587101688689],[-94.59481303883989,39.067650977035655],[-94.59474601978219,39.0668040355163],[-94.5946970352824,39.06772399630679],[-94.59463702539273,39.06877700675855],[-94.59459000981687,39.06955598483067],[-94.59451897463546,39.07073599555243],[-94.59448196077511,39.07140501511977],[-94.59460796550937,39.071411006352726],[-94.59521696626435,39.071434013866046],[-94.5957920305369,39.0714340017033],[-94.59620100559002,39.07143401616619],[-94.59804399109748,39.071501026275904],[-94.59905903415014,39.07153698517343],[-94.59999297243087,39.07157097248073],[-94.60023398120647,39.071579965068906],[-94.60130096983656,39.07161798350861],[-94.60207600092822,39.07164599658866],[-94.60218296238855,39.07165003271308],[-94.60394699046678,39.0717129986121],[-94.60570201738827,39.07177502310564],[-94.60643402396582,39.071803037048944],[-94.60662401803108,39.071845993067605],[-94.60677202796444,39.07191003726469],[-94.60697698969821,39.07205496160478],[-94.60727301189151,39.072307974768194]]]}"
